case_id,case_score,case_outlier,iso_outlier
12645436,0.586,True,False
12646634,0.708,False,False
12662404,0.708,False,False
12663987,0.605,True,False
12678562,0.704,False,False
12682517,0.964,False,False
12684275,0.973,False,False
12687876,0.971,False,False
12689333,0.613,True,False
12717920,0.715,False,False
12740211,0.954,False,False
12744845,0.701,False,False
12747208,0.715,False,False
12749014,0.668,False,False
12752229,0.704,False,False
12762756,0.964,False,False
12766269,0.973,False,False
12771376,0.979,False,False
12782458,0.637,True,False
12785089,0.658,False,False
12789957,0.979,False,False
12791944,0.962,False,False
12793531,0.716,False,False
12795896,0.968,False,False
12799746,0.609,True,False
12811989,0.956,False,False
12812688,0.657,False,False
12814227,0.622,True,False
12817807,0.712,False,False
12837981,0.591,True,False
12869313,0.749,False,False
12905128,0.979,False,False
12907271,0.979,False,False
12935996,0.724,False,False
12936521,0.98,True,False
12939498,0.619,True,False
12941586,0.596,True,False
12986276,0.707,False,False
12993950,0.979,False,False
12998701,0.979,False,False
13000092,0.711,False,False
13016907,0.584,True,False
13043480,0.69,False,False
13055326,0.979,False,False
13060756,0.979,False,False
13063975,0.979,False,False
13086821,0.657,False,False
13088181,0.617,True,False
13091175,0.978,False,False
13092416,0.599,True,False
13094908,0.978,False,False
13103680,0.634,True,False
13113737,0.979,False,False
13120775,0.609,True,False
13124255,0.608,True,False
13126616,0.969,False,False
13127664,0.618,True,False
13130180,0.634,True,False
13138230,0.696,False,False
13143582,0.648,True,False
13147393,0.966,False,False
13149138,0.965,False,False
13160407,0.979,False,False
13166722,0.981,True,False
13211034,0.971,False,False
13226152,0.978,False,False
13226170,0.708,False,False
13271933,0.701,False,False
13272664,0.972,False,False
13274288,0.977,False,False
13283936,0.709,False,False
13359725,0.707,False,False
13445008,0.978,False,False
13479171,0.665,False,False
13501086,0.971,False,False
13518764,0.977,False,False
13559761,0.977,False,False
13561073,0.689,False,False
13566705,0.675,False,False
13595649,0.971,False,False
13598290,0.979,False,False
13602723,0.977,False,False
13632867,0.978,False,False
13642349,0.977,False,False
13673881,0.977,False,False
13679541,0.978,False,False
13946101,0.682,False,False
13968152,0.96,False,False
19844232,0.642,True,False
19850540,0.641,True,False
19851047,0.952,False,False
19898301,0.681,False,False
19899227,0.9,True,False
19900779,0.629,False,False
19902348,0.569,True,False
19922714,0.966,True,False
19944424,0.702,False,False
19946818,0.639,True,False
19949987,0.627,True,False
19964659,0.498,True,True
19982374,0.576,True,False
20012182,0.674,False,False
20013528,0.627,True,False
20033105,0.607,True,False
20034102,0.656,True,False
20039669,0.623,True,False
20040515,0.619,True,False
20048962,0.715,False,False
20059230,0.912,True,False
20146524,0.619,True,False
20147943,0.698,False,False
20160716,0.629,True,False
20161890,0.573,True,False
20167781,0.529,True,True
20168418,0.583,True,False
20176632,0.925,True,False
20177191,0.597,True,False
20228466,0.556,True,False
20230534,0.896,True,False
20231249,0.603,True,False
20234879,0.62,True,False
20235451,0.697,False,False
20255660,0.69,False,False
20256187,0.663,False,False
20265734,0.611,True,False
20271369,0.876,True,True
20278493,0.606,True,False
20283865,0.914,True,False
20283980,0.898,True,True
20284090,0.946,False,False
20284172,0.642,False,False
20286046,0.938,True,False
20291515,0.986,True,False
20309551,0.584,True,False
20314634,0.683,True,False
20315212,0.683,True,False
20321051,0.874,True,False
20351329,0.971,True,False
20355680,0.979,True,False
20362348,0.694,True,False
20370270,0.969,False,False
20375690,0.71,False,False
20383055,0.956,False,False
20390768,0.626,True,False
20395278,0.979,False,False
20442334,0.945,False,False
20446831,0.599,True,False
20465328,0.975,False,False
20466907,0.61,True,False
20467993,0.972,False,False
20469985,0.644,False,False
20489121,0.621,True,False
20492615,0.865,True,True
20493351,0.868,True,False
20493939,0.933,False,False
20501217,0.666,True,False
20502945,0.913,True,False
20515299,0.956,False,False
20527735,0.979,False,False
20528802,0.979,False,False
20531605,0.721,False,False
20552714,0.57,True,False
20586728,0.868,True,True
20619258,0.911,True,False
20631624,0.563,True,False
20653952,0.943,False,False
20691849,0.625,True,False
20710895,0.979,False,False
20712218,0.662,False,False
