case_id,municipality,case_hybrid_score,case_hybrid_raw
10864106,BPIC15_5,0.41,0.4255310945934961
10864206,BPIC15_4,0.832,0.8257208853238639
10866068,BPIC15_4,0.815,0.8096072981074881
10881184,BPIC15_1,0.844,0.836803561352806
10882759,BPIC15_1,0.91,0.8999126820169654
10883603,BPIC15_1,0.467,0.4795634500153165
10885876,BPIC15_1,0.872,0.863919274756379
10887197,BPIC15_4,0.828,0.8218111085814894
10894996,BPIC15_4,0.439,0.4532482280770678
10896897,BPIC15_1,0.839,0.8320822858079996
10899058,BPIC15_5,0.84,0.8335375922256221
10903576,BPIC15_4,0.838,0.8311921017278114
10908312,BPIC15_4,0.834,0.8277550931277681
10911419,BPIC15_4,0.825,0.8188629570702214
10911493,BPIC15_4,0.423,0.4372881537468892
10913081,BPIC15_4,0.92,0.9091612611112561
10914823,BPIC15_1,0.928,0.9171807739131639
10918910,BPIC15_1,0.874,0.8652533925316763
10922285,BPIC15_1,0.441,0.45425621886261863
10926824,BPIC15_4,0.851,0.8438442286334672
10928665,BPIC15_5,0.408,0.42316031212981875
10931992,BPIC15_4,0.843,0.8361523591714566
10935283,BPIC15_4,0.84,0.8330649973265909
10935882,BPIC15_4,0.83,0.8239385822407271
10936660,BPIC15_4,0.821,0.815379793572835
10938606,BPIC15_4,0.848,0.8411566262899275
10948952,BPIC15_1,0.87,0.8619868102610897
10950052,BPIC15_1,0.888,0.8785185585694346
10959110,BPIC15_1,0.444,0.45768338640332007
10964461,BPIC15_1,0.914,0.9035820584160322
10964933,BPIC15_4,0.42,0.4344727326499486
10965843,BPIC15_1,0.867,0.85910832365328
10980106,BPIC15_5,0.916,0.905683507638863
10987431,BPIC15_1,0.472,0.4844127840360479
10987471,BPIC15_5,0.401,0.41667323590827754
10996209,BPIC15_1,0.884,0.8747796185067755
10996807,BPIC15_5,0.472,0.4842523456717328
10998072,BPIC15_1,0.879,0.8698093950913028
11004839,BPIC15_4,0.837,0.8306657980811054
11024945,BPIC15_5,0.812,0.8071366182480653
11032039,BPIC15_1,0.823,0.8175764296257947
11032871,BPIC15_1,0.828,0.8220501750819524
11041423,BPIC15_4,0.904,0.8943564261937332
11041449,BPIC15_4,0.85,0.8424059428049502
11044631,BPIC15_1,0.415,0.42970610038154017
11052564,BPIC15_5,0.875,0.8664233341354156
11053351,BPIC15_5,0.431,0.4454809364593938
11060714,BPIC15_4,0.839,0.831998081423102
11070999,BPIC15_5,0.963,0.9495378088404487
11075685,BPIC15_4,0.833,0.8270292888460773
11075839,BPIC15_4,0.824,0.8179626211395221
11080907,BPIC15_1,0.442,0.4554698162628854
11090632,BPIC15_1,0.449,0.46258698236481516
11092974,BPIC15_1,0.829,0.8223696383082619
11119500,BPIC15_5,0.414,0.4286318384917272
11157992,BPIC15_1,0.478,0.4895503548155501
11164529,BPIC15_4,0.828,0.8214521961061295
11168158,BPIC15_5,0.481,0.49244652984943016
11177792,BPIC15_1,0.468,0.48010359604971914
11180791,BPIC15_1,0.872,0.8635074751150758
11181581,BPIC15_4,0.84,0.8331045885412226
11194966,BPIC15_4,0.822,0.8165620917541343
11195562,BPIC15_4,0.826,0.8197032929319513
11203658,BPIC15_4,0.843,0.8357994710129003
11204590,BPIC15_1,0.878,0.8694517273284809
11206183,BPIC15_4,0.825,0.8189979490458679
11206923,BPIC15_1,0.479,0.4903091726640654
11208545,BPIC15_5,0.81,0.8045440777630095
11210892,BPIC15_5,0.828,0.8217657247083014
11211232,BPIC15_1,0.486,0.4970583952669923
11212108,BPIC15_5,0.39,0.4061671609483591
11213853,BPIC15_5,0.812,0.8066956808056427
11215171,BPIC15_1,0.856,0.8484235493673148
